<<<<<<< HEAD
cause_of_death,CartoDB_Cause_of_death,quarter,Date-month,Year,dead,missing,dead_and_missing,description,location,latitude,longitude,"latitude, longitude",route
unknown,unknown - supposedly exhaustion related death,4Q2015,2015 -- 9,2015.0,2.0,0.0,2.0,"Two refugees, a young child and a woman lost their lives when the boat carrying them from the Turkish coast to Greece capsized - See more at: http://greece.greekreporter.com/2015/09/30/refugee-boat-capsized-near-mytilene-woman-and-young-child-tragically-die-in-waters/#sthash.hlX6QGLT.dpuf",Near Lesbos,39.1,26.2,"39.1, 26.2",Eastern Mediterranean route
unknown,unknown - supposedly exhaustion related death,4Q2015,2015 -- 9,2015.0,1.0,5.0,6.0,One Syrian migrant has died and five others are reported missing after an inflatable boat carrying migrants capsized off Turkeyâ€™s northwestern coast late on Sept. 29,near Enez,40.7014,26.02,"40.7014, 26.02",Eastern Mediterranean route
crushed by a wooden pallet in a truck,"violent accidental death (transport, blown in minefield...)",4Q2015,2015 -- 9,2015.0,1.0,0.0,1.0,A young Irakian was found dead in a truck in the port of Calais,Calais,50.95,1.86,"50.95, 1.86",Unknown
unknown,unknown - supposedly exhaustion related death,4Q2015,2015 -- 9,2015.0,0.0,7.0,7.0,"The Greek coastguard said it was looking for seven migrants feared missing near the Aegean island of Kos, after rescuing 115 Syrians in a separate incident.",Kos,31,27.09,"31, 27.09",Eastern Mediterranean route
drowned,drowning or exhaustion related death,4Q2015,2015 -- 9,2015.0,17.0,0.0,17.0,"Turkish Coast Guard rescues 20 people after boat sinks near holiday resort, 17 Syrians drowned",Gumusluk,37.0502,27.223749,"37.0502, 27.223749",Eastern Mediterranean route
hit by a train,"violent accidental death (transport, blown in minefield...)",4Q2015,2015 -- 9,2015.0,1.0,0.0,1.0,Young migrant found dead in Channel Tunnel,Calais,50.9544,1.8628,"50.9544, 1.8628",Unknown
intoxicated,"violent accidental death (transport, blown in minefield...)",4Q2015,2015 -- 9,2015.0,1.0,0.0,1.0,Syrian Teen Who Ate Poisonous Mushroom Dies in Germany,MÃ¼nster,51.971453,7.6240971,"51.971453, 7.6240971",Central European Route
unknown,unknown - supposedly exhaustion related death,4Q2015,2015 -- 9,2015.0,0.0,2.0,2.0,Greek authorities say two people are missing after a boat carrying people fleeing their homelands sank in the eastern Aegean Sea.,Near Lesbos,39,26.21,"39, 26.21",Eastern Mediterranean route
unknown,unknown - supposedly exhaustion related death,4Q2015,2015 -- 9,2015.0,1.0,0.0,1.0,The body of a young Moroccan was found at sea,Gravelines,51.00283,2.1078,"51.00283, 2.1078",Unknown
unknown,unknown - supposedly exhaustion related death,4Q2015,2015 -- 9,2015.0,1.0,14.0,15.0,A five-year-old girl is among more than a dozen refugees feared to have died when their boat sank off Lesbos,Near Lesbos,39,26.2,"39, 26.2",Eastern Mediterranean route
drowned,drowning or exhaustion related death,4Q2015,2015 -- 9,2015.0,1.0,0.0,1.0,The body of a young Syrian girl was found on a Turkish beach,Near Cesme,38.3204079,26.2969054,"38.3204079, 26.2969054",Eastern Mediterranean route
unknown,unknown - supposedly exhaustion related death,4Q2015,2015 -- 9,2015.0,13.0,13.0,26.0,"A boat capsized off the coast of Turkey. 13 dead, 13 missing.",Near Canakkale,40,26.4,"40, 26.4",Eastern Mediterranean route
unknown,unknown - supposedly exhaustion related death,4Q2015,2015 -- 9,2015.0,7.0,0.0,7.0,"At least seven migrants, including a young child, have died after their boat sank off the coast of Libya.",Off Libya,"35,1","17,1","35,1, 17,1",Western Mediterranean route
electrocuted,"violent accidental death (transport, blown in minefield...)",4Q2015,2015 -- 9,2015.0,1.0,0.0,1.0,A man found on Eurotunnel train roof dies from electrocution,"Coquelles, France",50.92,1.82,"50.92, 1.82",Unknown
drowned,drowning or exhaustion related death,4Q2015,2015 -- 9,2015.0,22.0,0.0,22.0,At least 22 migrants including four children trying to reach Greece drowned ,near Kos,31,27.1,"31, 27.1",Eastern Mediterranean route
drowned,drowning or exhaustion related death,4Q2015,2015 -- 9,2015.0,2.0,0.0,2.0,Two Syrian migrants attempting to reach a Greek island drowned,near Izmir,38.41,27.08,"38.41, 27.08",Eastern Mediterranean route
unknown,unknown - supposedly exhaustion related death,4Q2015,2015 -- 9,2015.0,0.0,4.0,4.0,The coastguard was also still searching for four children missing after another boat capsized,Off Samos,37.71,26.8,"37.71, 26.8",Eastern Mediterranean route
unknown,unknown - supposedly exhaustion related death,4Q2015,2015 -- 9,2015.0,34.0,0.0,34.0,34 migrants die in boat capsize off Greece,Farmakonisi,37.29721,27.135624,"37.29721, 27.135624",Eastern Mediterranean route
run over by a car,"violent accidental death (transport, blown in minefield...)",4Q2015,2015 -- 9,2015.0,1.0,0.0,1.0,A car hit three migrants walking along the main road in the dark near the city of Szeged in southern Hungary and one of them died in hospital,Szeged,46.232789,20.1404686,"46.232789, 20.1404686",Central European Route
unknown,unknown - supposedly exhaustion related death,4Q2015,2015 -- 9,2015.0,1.0,0.0,1.0,One dead body was found near Ceuta,Ceuta,35.9,-5.2,"35.9, -5.2",Western Mediterranean route
run over by a train,"violent accidental death (transport, blown in minefield...)",4Q2015,2015 -- 9,2015.0,1.0,0.0,1.0,1 man was run over by a train between Orestiada and Alexandroupolis,Orestiada,41.5,26.53,"41.5, 26.53",Eastern Mediterranean route
fall,"violent accidental death (transport, blown in minefield...)",4Q2015,2015 -- 9,2015.0,1.0,0.0,1.0,A migrant has died in Hungary after falling onto train tracks 'while running away from police'.,Bicske,47.5054954,18.5903625,"47.5054954, 18.5903625",Central European Route
unknown,unknown - supposedly exhaustion related death,4Q2015,2015 -- 9,2015.0,0.0,30.0,30.0,At least 30 people were feared dead as a boat full of migrants sank off the coast of Libya,Misrata,32.6,15.4,"32.6, 15.4",Central European Route
unknown,unknown - supposedly exhaustion related death,4Q2015,2015 -- 9,2015.0,1.0,0.0,1.0,"A two-month-old baby from a family of refugees died Saturday on the Greek island of Agathonisi, a police source said",Agathonisi,37.4653524,26.9676859,"37.4653524, 26.9676859",Eastern Mediterranean route
unknown,unknown - supposedly exhaustion related death,4Q2015,2015 -- 9,2015.0,4.0,0.0,4.0,Four bodies were found by the Swedish navy near Sardaigna,near Sardinia,40.08,8.98,"40.08, 8.98",Central European Route
drowned,drowning or exhaustion related death,4Q2015,2015 -- 9,2015.0,12.0,0.0,12.0,"Twelve Syrians drown heading from Turkey to Greek island. Amonst them, Aylan Kurdi, a 3 year old boy whose photo shared a lot on social networks",near Kos,31,27,"31, 27",Eastern Mediterranean route
unknown,unknown - supposedly exhaustion related death,3Q2015,2015 -- 8,2015.0,37.0,0.0,37.0,Seven people died when a boat carrying migrants sank off Libyaâ€™s coast and 30 bodies were discovered on Monday near the capsize,near Khoms (Libya),33.29,14.93,"33.29, 14.93",Central Mediterranean route
shot,"violent accidental death (transport, blown in minefield...)",3Q2015,2015 -- 8,2015.0,1.0,0.0,1.0,A 17-year-old migrant was killed during a shootout at sea between Greek port police and human smugglers,near Symi (Greece),36.59,27.89,"36.59, 27.89",Eastern Mediterranean route
unknown,unknown - supposedly exhaustion related death,3Q2015,2015 -- 8,2015.0,200.0,0.0,200.0,Up to 200 bodies have been discovered floating off the coast of Libya,Zuwara,33,12.2,"33, 12.2",Central Mediterranean route
asphyxiated,drowning or exhaustion related death,3Q2015,2015 -- 8,2015.0,71.0,0.0,71.0,"71 people, presumed to be asylum-seekers, have been found dead in the back of a lorry in Austria.",Parndorf,48,16.8,"48, 16.8",Western Balkan route
heart failure,drowning or exhaustion related death,3Q2015,2015 -- 8,2015.0,1.0,0.0,1.0,A 15 year old Somalian died on the boat of MSF taking him to Italy,Between Libya and Sicily,35,14,"35, 14",Central Mediterranean route
unknown,unknown - supposedly exhaustion related death,3Q2015,2015 -- 8,2015.0,52.0,0.0,52.0,52 found dead' in hold of migrant boat off Libya,Off Libya,35,17,"35, 17",Central European Route
drowned,drowning or exhaustion related death,3Q2015,2015 -- 8,2015.0,3.0,0.0,3.0,"Turkey's coast guard recovered three bodies and rescued 73 refugees from Syria and Afghanistan after a fishing boat that would have taken them to Lesbos capsized about off Turkey's Aegean coast at Canakkale, Turkey's state-run Anadolu Agency reported.",Near Canakkale,40.1,26.4,"40.1, 26.4",Eastern Mediterranean route
unknown,unknown - supposedly exhaustion related death,3Q2015,2015 -- 8,2015.0,2.0,5.0,7.0,"Greece's coast guard recovered the bodies of two men, rescued six people and was searching for at least five more missing off the coast of the eastern Aegean island of Lesbos",Near Lesbos,39.1,26.2,"39.1, 26.2",Eastern Mediterranean route
unknown,unknown - supposedly exhaustion related death,3Q2015,2015 -- 8,2015.0,1.0,0.0,1.0,Red Cross found a 16 year old Syrian dead on a boat in Kos,Near Kos,31.1,27.1,"31.1, 27.1",Eastern Mediterranean route
unknown,unknown - supposedly exhaustion related death,3Q2015,2015 -- 8,2015.0,1.0,0.0,1.0,"Greece's coast guard rescued hundreds of migrants in more than a dozen search-and-rescue operations, including one in which a toddler found unconscious in an overcrowded dinghy died",Off Samos,37.7,26.8,"37.7, 26.8",Eastern Mediterranean route
drowned,drowning or exhaustion related death,3Q2015,2015 -- 8,2015.0,6.0,0.0,6.0,"A boat overloaded with 31 Syrians sank on Tuesday, and six, including an infant, drowned.",Near Kos,31.1,27,"31.1, 27",Eastern Mediterranean route
unknown,unknown - supposedly exhaustion related death,3Q2015,2015 -- 8,2015.0,1.0,0.0,1.0,Rescuers found one migrant dead and saved 354 on a fishing boat in rough seas,Near the southern shores of Italy,37.7,17.2,"37.7, 17.2",Central Mediterranean route
asphyxiated,drowning or exhaustion related death,3Q2015,2015 -- 8,2015.0,49.0,0.0,49.0,"49 people were found dead, probably from suffocation, on an overcrowded fishing boat.",near Catania (Italy),37,16.4,"37, 16.4",Central Mediterranean route
fall,authorities related death,3Q2015,2015 -- 8,2015.0,1.0,0.0,1.0,A Senegalese man plunged to his death during a police raid,Salou,41.07824,1.13346,"41.07824, 1.13346",Western Mediterranean route
unknown,unknown - supposedly exhaustion related death,3Q2015,2015 -- 8,2015.0,25.0,200.0,225.0,A boat capsized off the coast of Libya. Between 600 and 700 were onboard. Only around 400 were rescued and 25 bodies were found,North of Zouara (Libya),33.52,12.69,"33.52, 12.69",Central Mediterranean route
asphyxiated,drowning or exhaustion related death,3Q2015,2015 -- 8,2015.0,1.0,0.0,1.0,A 27 year old Moroccan has been found axphyxiated in a luggage on a ferry between Mellila and Almeria,between Mellila and Almeria,36.1,-2.7,"36.1, -2.7",Western Mediterranean route
unknown,unknown - supposedly exhaustion related death,3Q2015,2015 -- 8,2015.0,4.0,0.0,4.0,"4 men have been found dead at sea, trying to get to Ceuta",near Ceuta,35.9,-5.3,"35.9, -5.3",Western Mediterranean route
unknown,unknown - supposedly exhaustion related death,3Q2015,2015 -- 8,2015.0,5.0,0.0,5.0,"About 1,800 migrants have been rescued from seven overcrowded vessels in the Mediterranean, while five corpses were found on a rubber boat carrying 212 others, according to the Italian coastguard.
The bodies were found on board at the time of the rescue, a coastguard spokeswoman said on Sunday. The cause of death was not yet known.",Italian coasts,36.3,18.9,"36.3, 18.9",Central Mediterranean route
fall,"violent accidental death (transport, blown in minefield...)",3Q2015,2015 -- 7,2015.0,1.0,0.0,1.0,One migrant fall from a train and broke his neck.,Calais,50.954468,1.862801,"50.954468, 1.862801",Unknown
fall,"violent accidental death (transport, blown in minefield...)",3Q2015,2015 -- 7,2015.0,1.0,0.0,1.0,One migrant died falling from a truck.,Between Budapest and Vienna,47.7,17.6,"47.7, 17.6",Unknown
run over by a car,"violent accidental death (transport, blown in minefield...)",3Q2015,2015 -- 7,2015.0,1.0,0.0,1.0,One migrant died trying to escape from a police control.,RÃ¶szke,46.1861871,20.0312352,"46.1861871, 20.0312352",Western Balkan route
stabbed,malicious intent related death / manslaughter,3Q2015,2015 -- 7,2015.0,1.0,0.0,1.0,A migrant died while being evacuated from a squat,Tanger,35.766667,-5.8,"35.766667, -5.8",Western Mediterranean route
drowned,drowning or exhaustion related death,3Q2015,2015 -- 7,2015.0,12.0,0.0,12.0,12 migrants drowned in the sea and 500 saved near Lampedusa,Lampedusa,35.5059,12.6073,"35.5059, 12.6073",Central Mediterranean route
unknown,unknown - supposedly exhaustion related death,3Q2015,2015 -- 7,2015.0,1.0,15.0,16.0,"A ship sunk between Turkey and Greece. 20 people got saved, 15 are missing, 1 dead.",Farmakonisi,37.291,27.08,"37.291, 27.08",Eastern Mediterranean route
drowned,drowning or exhaustion related death,3Q2015,2015 -- 7,2015.0,1.0,0.0,1.0,One migrant drowned while trying to get into the Eurostar Tunnel,Calais,50.954468,1.862801,"50.954468, 1.862801",Unknown
burned,"violent accidental death (transport, blown in minefield...)",3Q2015,2015 -- 7,2015.0,1.0,0.0,1.0,One migrant burned while trying to get into the Eurostar tunnel,Calais,50.954468,1.862801,"50.954468, 1.862801",Unknown
unknown,unknown - supposedly exhaustion related death,3Q2015,2015 -- 7,2015.0,1.0,0.0,1.0,Teen migrant found dead on the roof of an Eurostar,Folkestone,51.081398,1.169456,"51.081398, 1.169456",Unknown
unknown,unknown - supposedly exhaustion related death,3Q2015,2015 -- 7,2015.0,1.0,0.0,1.0,Migrant found dead in a Eurostar,Folkestone,51.081398,1.169456,"51.081398, 1.169456",Unknown
lack of medical care,malicious intent related death / manslaughter,3Q2015,2015 -- 7,2015.0,1.0,0.0,1.0,Diabetic child dies on migrant boat after traffickers throw her insulin overboard,Between Egypt and Sicily,32.23,26.64,"32.23, 26.64",Central Mediterranean route
unknown,unknown - supposedly exhaustion related death,3Q2015,2015 -- 7,2015.0,0.0,30.0,30.0,"The migrants fell into the water and most were rescued by a commercial boat and then by a German navy ship, the Holstein, which brought a total of 283 people to safety.One 22-year-old Ghanaian cited by the newspaper claimed that some 30 of his fellow travellers had died.",Between Italy and Libya,34,14,"34, 14",Central Mediterranean route
unknown,unknown - supposedly exhaustion related death,3Q2015,2015 -- 7,2015.0,14.0,0.0,14.0,Fourteen migrant bodies recovered in the continuing exodus from north Africa,80 kilometres north-west of the Libyan capital Tripoli.,34.4,14.1,"34.4, 14.1",Central Mediterranean route
run over by a truck,"violent accidental death (transport, blown in minefield...)",3Q2015,2015 -- 7,2015.0,1.0,0.0,1.0,A migrant got run over by a truck in the Eurotunnel ,Calais,50.954468,1.862801,"50.954468, 1.862801",Unknown
electrocuted,"violent accidental death (transport, blown in minefield...)",3Q2015,2015 -- 7,2015.0,1.0,0.0,1.0,A migrant got electrocuted while trying to get on the top of a train going to the UK,Paris,48.858,2.2946,"48.858, 2.2946",Unknown
unknown,unknown - supposedly exhaustion related death,2Q2015,2015 -- 6,2015.0,30.0,0.0,30.0,Bodys in an advanced state of decomposition were found in the Sahara,Dirkou,19.0086,12.88579,"19.0086, 12.88579",Central Mediterranean route
shot,malicious intent related death / manslaughter,2Q2015,2015 -- 6,2015.0,1.0,0.0,1.0,One migrant was shot during the crossing of the Mediterrannean sea,Between Libya and Sicily,34,14,"34, 14",Central Mediterranean route
exhaustion,drowning or exhaustion related death,2Q2015,2015 -- 6,2015.0,18.0,0.0,18.0,"17 men and 1 woman were found in the desert, shortly after they left Arlit for Algeria","near Arlit, Niger",18.733,7.383,"18.733, 7.383",Central Mediterranean route
run over by a car,"violent accidental death (transport, blown in minefield...)",2Q2015,2015 -- 6,2015.0,1.0,0.0,1.0,On the night of the 29th June Zebiba a 23 year old women from Eritrea was found dead on the side of the A16 between Calais and Marck.,Between Calais and Marck,50.95,1.95,"50.95, 1.95",Unknown
drowned,drowning or exhaustion related death,2Q2015,2015 -- 6,2015.0,1.0,2.0,3.0,A rubber boat capsized during a rescue operation. 3 men died.,Central Med,34,14,"34, 14",Central Mediterranean route
died from dehydration,drowning or exhaustion related death,2Q2015,2015 -- 6,2015.0,18.0,0.0,18.0,"A pickup truck got lost in the desert outside of Arlit, Niger","Off Arlit, Niger",19.213588,6.800537,"19.213588, 6.800537",Central European Route
run over by a car,"violent accidental death (transport, blown in minefield...)",2Q2015,2015 -- 6,2015.0,1.0,0.0,1.0,A 20 years old guy hitted by a car while crossing the highway,"Coquelles, France",50.9247443,1.8000638,"50.9247443, 1.8000638",Unknown
unknown,unknown - supposedly exhaustion related death,2Q2015,2015 -- 5,2015.0,17.0,0.0,17.0,"17 bodies were found on three inflatable dinghies, from which more than 300 other migrants were rescued alive",Off Libya,34.542858,13.704729,"34.542858, 13.704729",Central Mediterranean route
unknown,unknown - supposedly exhaustion related death,2Q2015,2015 -- 5,2015.0,11.0,0.0,11.0,The Italian navy found 11 dead migrants on boats headed across the Mediterranean to Europe ,Off Libya,33.641882,12.847345,"33.641882, 12.847345",Central Mediterranean route
drowned,drowning or exhaustion related death,2Q2015,2015 -- 5,2015.0,5.0,0.0,5.0,"Five African migrants drowned in the Mediterranean after jumping from their boat which was intercepted by the Egyptian coastguard, reported security officials.",Off Egypt,33.44238,25.610113,"33.442380, 25.610113",Central Mediterranean route
drowned,drowning or exhaustion related death,2Q2015,2015 -- 5,2015.0,5.0,0.0,5.0,The bodies of five Tunisian migrants trying to reach the Italian island of Lampedusa were recovered off Tunisia,Off TÃ©boulba,35.696508,11.107726,"35.696508, 11.107726",Central Mediterranean route
asphyxiated,drowning or exhaustion related death,2Q2015,2015 -- 5,2015.0,1.0,1.0,1.0,A youg afghan has been found dead in a truck,"Genas, France",45.7283752,5.0131031,"45.7283752, 5.0131031",Unknown
drowned,drowning or exhaustion related death,2Q2015,2015 -- 5,2015.0,40.0,0.0,40.0,The Save the Children aid group said on Tuesday rescued migrants disembarking in Sicily had told its personnel there that around 40 of their fellow travelers had drowned during the journey.        ,Sicily (strait of)        ,37.2,11.199903,"37.2, 11.199903",Central Mediterranean route
drowned,drowning or exhaustion related death,2Q2015,2015 -- 5,2015.0,10.0,0.0,10.0,"Hundreds of migrants were rescued from at least 16 boats off Libya's coast Sunday, but at least 10 bodies were recovered in the rescue operations involving the Italian Coast Guard.        ",Off Libya,33.06503,13.413009,"33.065030, 13.413009",Central Mediterranean route
drowned,drowning or exhaustion related death,2Q2015,2015 -- 5,2015.0,3.0,0.0,3.0,Three people were killed Saturday when a boat carrying migrants sunk off the coast of Beheira governorateâ€™s Edku city.        ,"Off Egypt, (Idku)       ",31.510077,30.21185,"31.510077, 30.21185",Central Mediterranean route
run over by a train,"violent accidental death (transport, blown in minefield...)",2Q2015,2015 -- 4,2015.0,14.0,0.0,14.0,"Fourteen migrants were killed when they were struck by a train in a narrow gorge in Macedonia late on Thursday, part of a growing tide of people trying to get to western Europe via the Balkans instead of crossing the treacherous Mediterranean.","Veles, macedonia",41.713846,21.770409,"41.713846, 21.770409",Western Balkan route
run over by a bus,"violent accidental death (transport, blown in minefield...)",2Q2015,2015 -- 4,2015.0,1.0,0.0,1.0,"The incident took place on Tuesday night on a ferry linking Igoumenitsa in northwest Greece with Bari across the Adriatic Sea in southeast Italy, Ana said. As the bus drove onto the ferry ramp, the 21-year-old migrant was struck and fatally injured by the axle.        ","IgoumenÃ­tsa, Nome de Thesprotie, Greece",39.50615,20.265534,"39.50615, 20.265534",Apulia and Calabria route
drowned,drowning or exhaustion related death,2Q2015,2015 -- 4,2015.0,20.0,0.0,400.0,2 Boats Carrying 400 People Send Distress Calls,Off Libya,33.349987,13.58879,"33.349987, 13.58879",Central Mediterranean route
drowned,drowning or exhaustion related death,2Q2015,2015 -- 4,2015.0,3.0,0.0,3.0,"The boat hit a reef at Zephyros beach in Rhodes and the migrants started to flee to the shore, jumping into the sea, withor help. According to preliminary information released by the authorities, the boat sailed from the coast of Turkey. The smuggler abandoned the migrants in the middle of the sea, however, they still managed to reach Rhodes.","Rhodes, Greece",36.434963,28.217483,"36.434963, 28.217483",Eastern Mediterranean route
drowned,drowning or exhaustion related death,2Q2015,2015 -- 4,2015.0,24.0,739.0,800.0,800 migrants feared dead in Mediterranean shipwreck,about 60 miles (96km) off the Libyan coast and 120 miles (193km) south of the Italian island of Lampedusa.,33.867198,12.279102,"33.867198, 12.279102",Central Mediterranean route
