<<<<<<< HEAD
cause_of_death,CartoDB_Cause_of_death,quarter,Date-month,Year,dead,missing,dead_and_missing,description,location,latitude,longitude,"latitude, longitude",route
unknown,unknown - supposedly exhaustion related death,4Q2015,2015 -- 10,2015.0,3.0,0.0,3.0,One woman and two children drowned off the islet of Agathonissi,Agathonissi,37.465,26.967,"37.465, 26.967",Eastern Mediterranean route
unknown,unknown - supposedly exhaustion related death,4Q2015,2015 -- 10,2015.0,4.0,0.0,4.0,Three children and a man died off the coast of Samos,Samos,37.711,26.8,"37.711, 26.8",Eastern Mediterranean route
unknown,unknown - supposedly exhaustion related death,4Q2015,2015 -- 10,2015.0,1.0,0.0,1.0,A 7-year-old boy died off Lesbos,Lesbos,39,26.1911,"39, 26.1911",Eastern Mediterranean route
unknown,unknown - supposedly exhaustion related death,4Q2015,2015 -- 10,2015.0,3.0,0.0,3.0,Two young boys and a man died when their boat capsized,In the Aegean See,37.1,27,"37.1, 27",Eastern Mediterranean route
unknown,unknown - supposedly exhaustion related death,4Q2015,2015 -- 10,2015.0,1.0,0.0,1.0,"A man fall off a boat, his body was recovered near Lesbos",Lesbos,39,26.19101,"39, 26.19101",Eastern Mediterranean route
unknown,unknown - supposedly exhaustion related death,4Q2015,2015 -- 10,2015.0,1.0,0.0,1.0,"A woman fall off a boat near Chios, her body was recovered near Lesbos",Chios,38.11,26.19,"38.11, 26.19",Eastern Mediterranean route
drowned,drowning or exhaustion related death,4Q2015,2015 -- 10,2015.0,3.0,7.0,10.0,"A woman and two young children drowned, and seven people were missing, after an inflatable dinghy carrying dozens of migrants from Turkey hit rocks near the Greek island of Lesbos",Near Lesbos,39,26.191,"39, 26.191",Eastern Mediterranean route
drowned,drowning or exhaustion related death,4Q2015,2015 -- 10,2015.0,1.0,0.0,1.0,A Guinean drowned after a capsize,Ceuta,35.9,-5.31,"35.9, -5.31",Western Mediterranean route
hit by a car,"violent accidental death (transport, blown in minefield...)",4Q2015,2015 -- 10,2015.0,1.0,0.0,1.0,"4 people were hit by a car in the Eurotunnel. One died, the others are injured.",Calais,50.951,1.861,"50.951, 1.861",Unknown
unknown,unknown - supposedly exhaustion related death,4Q2015,2015 -- 10,2015.0,43.0,0.0,43.0,Bodies of 43 migrants wash ashore in Libya,Zliten,32.55,14.668,"32.55, 14.668",Central Mediterranean route
unknown,unknown - supposedly exhaustion related death,4Q2015,2015 -- 10,2015.0,0.0,15.0,15.0,A boat carrying migrants sank off the resort town of KuÅŸadasÄ± in the province of AydÄ±n. Some 15 migrants in the boat were rescued while 15 others are missing.,KuÅŸadasÄ± ,37.87,27.18,"37.87, 27.18",Eastern Mediterranean route
unknown,unknown - supposedly exhaustion related death,4Q2015,2015 -- 10,2015.0,6.0,0.0,6.0,"6 bodies, among them two women and one child, were discovered on a beach in the town of Guarabouli.",Garabulli,33.31,13.71,"33.31, 13.71",Eastern Mediterranean route
unknown,unknown - supposedly exhaustion related death,4Q2015,2015 -- 10,2015.0,2.0,1.0,3.0,One child and an unidentified person were killed in a capsized boat off the resort town of AyvalÄ±k,AyvalÄ±k,39.366,26.67,"39.366, 26.67",Eastern Mediterranean route
drowned,drowning or exhaustion related death,4Q2015,2015 -- 10,2015.0,1.0,0.0,1.0,A Pakistani refugee reportedly drowned after falling off a boat carrying 38 people,In the Aegean See,37,27,"37, 27",Eastern Mediterranean route
drowned,drowning or exhaustion related death,4Q2015,2015 -- 10,2015.0,12.0,11.0,23.0,"One baby, four children, five women and two men have drowned after a boat carrying refugees attempting to reach the Greek island of Lesbos sank in the Aegean Sea",Near Lesbos,39.1,26.191,"39.1, 26.191",Eastern Mediterranean route
drowned,drowning or exhaustion related death,4Q2015,2015 -- 10,2015.0,4.0,3.0,7.0,"Four migrants, the oldest of them a young woman of 16, drowned and three other people were missing after their rubber boat capsized off a Greek island",Kalymnos,37.0211,27.151,"37.0211, 27.151",Eastern Mediterranean route
unknown,unknown - supposedly exhaustion related death,4Q2015,2015 -- 10,2015.0,4.0,1.0,5.0,"A baby, a child and two women were found dead in a boat near Kastelorizo. One man is missing.",Kastelorizo,36.155,29.584,"36.155, 29.584",Eastern Mediterranean route
unknown,unknown - supposedly exhaustion related death,4Q2015,2015 -- 10,2015.0,1.0,0.0,1.0,A 8 year old died in a dingee with 110 refugees onboard,Farmakonisi,37.299,27.167,"37.299, 27.167",Eastern Mediterranean route
shot by the police,authorities related death,4Q2015,2015 -- 10,2015.0,1.0,0.0,1.0,Afghan migrant shot dead by police on Bulgarian border,Sredets,42.3453,27.1638,"42.3453, 27.1638",Eastern Mediterranean route
hit by a train,"violent accidental death (transport, blown in minefield...)",4Q2015,2015 -- 10,2015.0,1.0,0.0,1.0,An unidentified body has been found near the rail path ,Coquelles,50.9279,1.7875,"50.9279, 1.7875",Unknown
drowned,drowning or exhaustion related death,4Q2015,2015 -- 10,2015.0,3.0,0.0,3.0," A woman, a young girl and a baby have died after a boat carrying migrants and refugees to the Greek island of Lesbos sank",Near Lesbos,39.11,26.191,"39.11, 26.191",Eastern Mediterranean route
hit by a car,"violent accidental death (transport, blown in minefield...)",4Q2015,2015 -- 10,2015.0,1.0,0.0,1.0,A Syrian woman died after being hit by a car on a motorway near the Eurotunnel terminal,Near Calais,50.951,1.86,"50.951, 1.86",Unknown
unknown,unknown - supposedly exhaustion related death,4Q2015,2015 -- 10,2015.0,12.0,0.0,12.0,Rubber boat with Lebanon family of 12 sinks in Aegean Sea,In the Aegean See,37.1,27,"37.1, 27",Eastern Mediterranean route
drowned,drowning or exhaustion related death,4Q2015,2015 -- 10,2015.0,7.0,1.0,8.0,Seven dead and one missing after Greek coastguard vessel hits migrant boat,Near Lesbos,39.1,26.191,"39.1, 26.191",Eastern Mediterranean route
drowned,drowning or exhaustion related death,4Q2015,2015 -- 10,2015.0,11.0,0.0,11.0,Eleven drown as boat capsizes off Egypt,Baltim,32.07,31.05,"32.07, 31.05",Western Mediterranean route
unknown,unknown - supposedly exhaustion related death,4Q2015,2015 -- 10,2015.0,1.0,0.0,1.0,A baby died after the rubber boat carrying him and another 56 migrants broke down and was left adrift off the Greek island of Lesbos,Near Lesbos,39.1,26.19,"39.1, 26.19",Eastern Mediterranean route
police violence,authorities related death,4Q2015,2015 -- 10,2015.0,2.0,0.0,2.0,Two migrants died and 20 others were injured at the Spanish-Moroccan border on Friday 9 October after a raft on which they were travelling was overturned by the Moroccan Royal Marines,Ceuta,35.9,-5.3,"35.9, -5.3",Western Mediterranean route
unknown,unknown - supposedly exhaustion related death,4Q2015,2015 -- 10,2015.0,2.0,0.0,2.0,"A baby, aged between six months and a year, and a boy aged between 3 and 5 years were found on a beach, presumably after the boat carrying them from Turkey to Kos overturned",Near Kos,31.1,27.1,"31.1, 27.1",Eastern Mediterranean route
car accident,"violent accidental death (transport, blown in minefield...)",4Q2015,2015 -- 10,2015.0,1.0,0.0,1.0,At least one person was killed in a truck/bus accident,Presevo,42.24,21.7,"42.24, 21.7",Western Balkan route
unknown,unknown - supposedly exhaustion related death,4Q2015,2015 -- 10,2015.0,10.0,0.0,10.0," Red Crescent scouts found 10 corpses near Sabartha, a Libyan coastal city that is a main launching point for smugglersâ€™ boats headed to Europe.",Near Sabartha,33.1,12.6,"33.1, 12.6",Central Mediterranean route
unknown,unknown - supposedly exhaustion related death,4Q2015,2015 -- 10,2015.0,85.0,0.0,85.0,Red Crescent scouts found 85 of the corpses near Libyaâ€™s capital Tripoli,Near Tripoli,34.4,14.11,"34.4, 14.11",Central Mediterranean route
burned,"violent accidental death (transport, blown in minefield...)",4Q2015,2015 -- 10,2015.0,1.0,0.0,1.0,One refugee died in a fire in a reception fire,Saafeld,50.6392547,11.3581621,"50.6392547, 11.3581621",Central European Route
