location,event_year,route,causal,reason,value
Algeria,2010,Western Mediterranean Route,malicious intent related death / manslaughter,murdered,1
Algeria,2011,Central Mediterranean Route,drowning or exhaustion related death,drowned,18
Algeria,2011,Western Mediterranean Route,drowning or exhaustion related death,drowned,36
Algeria,2011,Western Mediterranean Route,unknown - supposedly exhaustion related death,unknown,13
Algeria,2012,Western Mediterranean Route,drowning or exhaustion related death,drowned,1
Algeria,2013,Central Mediterranean Route,drowning or exhaustion related death,exhaustion,87
Algeria,2015,Western Mediterranean Route,drowning or exhaustion related death,drowned,6
Austria,2000,Western Balkan Route,suicide,suicide - jumped from building,1
Austria,2000,Western Balkan Route,unknown - supposedly exhaustion related death,unknown,2
Austria,2008,Western Balkan Route,malicious intent related death / manslaughter,burned or asphyxiated due to arson attack,1
Austria,2015,Western Balkan Route,drowning or exhaustion related death,asphyxiated,71
Balearic Islands,2010,Western Mediterranean Route,drowning or exhaustion related death,drowned,5
Barbados,2006,Western African Route,drowning or exhaustion related death,starved,37
Bojador,2000,Western African Route,drowning or exhaustion related death,drowned,14
Bulgaria,2000,Eastern Mediterranean Route,drowning or exhaustion related death,hypothermia,3
Bulgaria,2001,Eastern Mediterranean Route,drowning or exhaustion related death,hypothermia,6
Bulgaria,2002,Eastern Mediterranean Route,authorities related death,police violence,1
Bulgaria,2002,Eastern Mediterranean Route,drowning or exhaustion related death,hypothermia,2
Bulgaria,2006,Eastern Mediterranean Route,drowning or exhaustion related death,hypothermia,1
Bulgaria,2008,Eastern Mediterranean Route,drowning or exhaustion related death,heart failure,1
Bulgaria,2009,Eastern Mediterranean Route,drowning or exhaustion related death,lack of medical care,1
Bulgaria,2015,Eastern Mediterranean Route,authorities related death,shot by the police,1
Cameroon,2003,Western Mediterranean Route,drowning or exhaustion related death,asphyxiated,1
Canary Islands,2000,Western African Route,drowning or exhaustion related death,drowned,34
Canary Islands,2001,Western African Route,drowning or exhaustion related death,drowned,9
Canary Islands,2002,Western African Route,drowning or exhaustion related death,drowned,21
Canary Islands,2003,Western African Route,drowning or exhaustion related death,drowned,26
Canary Islands,2004,Western African Route,drowning or exhaustion related death,drowned,6
Canary Islands,2004,Western African Route,unknown - supposedly exhaustion related death,unknown,42
Canary Islands,2005,Western African Route,drowning or exhaustion related death,drowned,70
Canary Islands,2005,Western African Route,drowning or exhaustion related death,starved,12
Canary Islands,2005,Western African Route,unknown - supposedly exhaustion related death,unknown,67
Canary Islands,2006,Western African Route,drowning or exhaustion related death,asphyxiated,4
Canary Islands,2006,Western African Route,drowning or exhaustion related death,died from dehydration,1
Canary Islands,2006,Western African Route,drowning or exhaustion related death,drowned,269
Canary Islands,2006,Western African Route,drowning or exhaustion related death,hypothermia,4
Canary Islands,2006,Western African Route,drowning or exhaustion related death,lack of medical care,1
Canary Islands,2006,Western African Route,drowning or exhaustion related death,starved,59
Canary Islands,2006,Western African Route,suicide,suicide - jumped in water,4
Canary Islands,2006,Western African Route,unknown - supposedly exhaustion related death,unknown,69
Canary Islands,2006,Western African Route,"violent accidental death (transport, blown in minefield, etc)",burned,18
Canary Islands,2007,Western African Route,authorities related death,shot by the police,2
Canary Islands,2007,Western African Route,drowning or exhaustion related death,drowned,60
Canary Islands,2007,Western African Route,drowning or exhaustion related death,frozen,1
Canary Islands,2007,Western African Route,drowning or exhaustion related death,hypothermia and dehydration,1
Canary Islands,2007,Western African Route,drowning or exhaustion related death,starved,81
Canary Islands,2007,Western African Route,unknown - supposedly exhaustion related death,unknown,84
Canary Islands,2008,Western African Route,drowning or exhaustion related death,died from dehydration,3
Canary Islands,2008,Western African Route,drowning or exhaustion related death,starved,3
Canary Islands,2008,Western African Route,drowning or exhaustion related death,starved or died from dehydration,11
Canary Islands,2008,Western African Route,unknown - supposedly exhaustion related death,unknown,50
Canary Islands,2009,Western African Route,drowning or exhaustion related death,starved,3
Catania,2001,Central Mediterranean Route,malicious intent related death / manslaughter,murdered,1
Catania,2001,Central Mediterranean Route,unknown - supposedly exhaustion related death,unknown,3
Catania,2002,Central Mediterranean Route,drowning or exhaustion related death,drowned,15
Catania,2004,Central Mediterranean Route,drowning or exhaustion related death,drowned,1
Catania,2004,Central Mediterranean Route,unknown - supposedly exhaustion related death,unknown,1
