location,event_year,route,causal,reason,value
Lampedusa,2015,Central Mediterranean Route,drowning or exhaustion related death,hypothermia,29
Lampedusa,2015,Central Mediterranean Route,drowning or exhaustion related death,drowned,12
"Las Palmas, Spain",2000,Western African Route,authorities related death,police violence,1
"Las Palmas, Spain",2000,Western African Route,drowning or exhaustion related death,drowned,6
"Las Palmas, Spain",2001,Western African Route,drowning or exhaustion related death,drowned,33
"Las Palmas, Spain",2001,Western African Route,unknown - supposedly exhaustion related death,unknown,9
"Las Palmas, Spain",2002,Western African Route,drowning or exhaustion related death,drowned,41
"Las Palmas, Spain",2002,Western African Route,drowning or exhaustion related death,heart failure,2
"Las Palmas, Spain",2002,Western African Route,unknown - supposedly exhaustion related death,unknown,6
"Las Palmas, Spain",2003,Western African Route,drowning or exhaustion related death,died from dehydration,12
"Las Palmas, Spain",2003,Western African Route,drowning or exhaustion related death,drowned,204
"Las Palmas, Spain",2003,Western African Route,drowning or exhaustion related death,starved,25
"Las Palmas, Spain",2003,Western African Route,unknown - supposedly exhaustion related death,unknown,23
"Las Palmas, Spain",2004,Western African Route,drowning or exhaustion related death,asphyxiated,5
"Las Palmas, Spain",2004,Western African Route,drowning or exhaustion related death,drowned,148
"Las Palmas, Spain",2004,Western African Route,drowning or exhaustion related death,hypothermia,16
"Las Palmas, Spain",2004,Western African Route,unknown - supposedly exhaustion related death,unknown,5
"Las Palmas, Spain",2005,Western African Route,drowning or exhaustion related death,drowned,17
"Las Palmas, Spain",2005,Western African Route,drowning or exhaustion related death,exhaustion,1
"Las Palmas, Spain",2005,Western African Route,drowning or exhaustion related death,starved,14
"Las Palmas, Spain",2005,Western African Route,unknown - supposedly exhaustion related death,unknown,3
